# Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s),Ax (m/s²),Ay (m/s²),Az (m/s²),e0,e1,e2,e3,ω1 (rad/s),ω2 (rad/s),ω3 (rad/s),Latitude (°),Longitude (°),Pressure (Pa)
0.000000,0.000000,0.000000,901.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.792598,0.043246,0.005693,0.608182,0.000000,0.000000,0.000000,31.044839,-103.536106,90824.855506
0.020000,-0.000000,-0.000000,901.000000,-0.000000,-0.000000,-0.000000,0.000002,0.000003,0.000035,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.855506
0.040000,-0.000000,-0.000000,901.000000,-0.000000,-0.000000,-0.000000,0.000003,0.000005,0.000066,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.855506
0.060000,-0.000000,-0.000000,901.000000,-0.000000,-0.000000,-0.000000,0.000004,0.000007,0.000089,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.855506
0.080000,-0.000000,-0.000000,901.000000,-0.000000,-0.000000,-0.000000,0.000004,0.000008,0.000101,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.855506
0.100000,-0.000000,-0.000000,901.000000,-0.000000,-0.000000,-0.000000,0.000004,0.000007,0.000098,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.855506
0.120000,-0.000000,-0.000000,901.000000,-0.000000,-0.000000,-0.000000,0.000003,0.000006,0.000076,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.855506
0.140000,-0.000000,-0.000000,901.000000,-0.000000,-0.000000,-0.000000,0.000001,0.000002,0.000032,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.855506
0.160000,0.000000,0.000000,901.000000,0.000000,0.000000,0.000000,-0.000002,-0.000003,-0.000038,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90824.855506
0.180000,0.000000,0.000000,901.000000,0.000000,0.000000,0.000000,-0.000006,-0.000010,-0.000127,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90824.855506
0.200000,0.000000,0.000000,901.000000,0.000000,0.000000,0.000000,-0.000009,-0.000016,-0.000216,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90824.855506
0.220000,0.000000,0.000000,901.000000,0.000000,0.000000,0.000001,-0.000013,-0.000022,-0.000286,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90824.855506
0.240000,0.000000,0.000000,901.000000,0.000000,0.000000,0.000001,-0.000014,-0.000024,-0.000318,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90824.855506
0.260000,0.000000,0.000000,901.000000,0.000000,0.000000,0.000001,-0.000013,-0.000022,-0.000294,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90824.855506
0.280000,0.000000,0.000000,901.000000,0.000000,0.000000,0.000000,-0.000008,-0.000015,-0.000194,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90824.855506
0.300000,0.000000,-0.000000,901.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.792598,0.043246,0.005693,0.608182,0.000000,0.000000,-0.000000,31.044839,-103.536106,90824.855506
0.320000,-0.000000,-0.000000,901.000000,-0.000000,-0.000000,-0.000001,0.000021,0.000036,0.000480,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.855506
0.340000,0.000002,0.000004,901.000054,0.000348,0.000603,0.007955,0.046147,0.079929,1.054932,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.854934
0.360000,0.000024,0.000042,901.000559,0.002029,0.003514,0.046375,0.122092,0.211470,2.791038,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90824.849639
0.380000,0.000099,0.000171,901.002261,0.005334,0.009239,0.121944,0.207858,0.360021,4.751664,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.831768
0.400000,0.000258,0.000447,901.005904,0.010444,0.018090,0.238754,0.302517,0.523974,6.915565,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90824.793526
0.420000,0.000540,0.000936,901.012353,0.017531,0.030365,0.400771,0.405060,0.701585,9.259716,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.725825
0.440000,0.000983,0.001703,901.022481,0.026771,0.046369,0.611989,0.518865,0.898701,11.861310,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90824.619493
0.460000,0.001627,0.002818,901.037198,0.038331,0.066392,0.876258,0.641537,1.111175,14.665603,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90824.464988
0.480000,0.002529,0.004380,901.057803,0.052386,0.090736,1.197554,0.766741,1.328034,17.527781,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90824.248679
0.500000,0.003739,0.006477,901.085481,0.069026,0.119557,1.577945,0.896070,1.552039,20.484259,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90823.958100
0.520000,0.005309,0.009195,901.121359,0.088327,0.152987,2.019171,1.034905,1.792509,23.658041,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90823.581441
0.540000,0.007292,0.012631,901.166704,0.110490,0.191374,2.525813,1.183204,2.049369,27.048186,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90823.105406
0.560000,0.009750,0.016887,901.222882,0.135708,0.235053,3.102298,1.340188,2.321273,30.636833,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90822.515624
0.580000,0.012745,0.022075,901.291349,0.164146,0.284309,3.752390,1.505377,2.607396,34.413005,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90821.796843
0.600000,0.016344,0.028308,901.373622,0.195962,0.339417,4.479723,1.678430,2.907136,38.368989,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000000,31.044839,-103.536106,90820.933122
0.620000,0.020614,0.035704,901.471236,0.231315,0.400650,5.287896,1.859035,3.219938,42.497761,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000000,31.044839,-103.536106,90819.908342
0.640000,0.025625,0.044383,901.585782,0.270327,0.468220,6.179693,2.044949,3.541928,46.747975,-0.792598,0.043246,0.005693,0.608182,-0.000000,0.000000,0.000001,31.044839,-103.536106,90818.705805
0.660000,0.031451,0.054476,901.718985,0.313030,0.542184,7.155907,2.229232,3.861158,50.960341,-0.792598,0.043246,0.005693,0.608182,0.000000,-0.000000,-0.000001,31.044839,-103.536106,90817.307407
0.680000,0.038170,0.066112,901.872566,0.359424,0.622540,8.216486,2.408857,4.172338,55.066130,-0.792598,0.043246,0.005693,0.608182,0.000001,-0.000000,-0.000003,31.044840,-103.536106,90815.695070
0.700000,0.045852,0.079419,902.048193,0.409454,0.709197,9.360135,2.591524,4.488468,59.243963,-0.792598,0.043246,0.005693,0.608182,-0.000001,0.000001,0.000007,31.044840,-103.536106,90813.851289
0.720000,0.054572,0.094522,902.247527,0.463120,0.802149,10.586968,2.777444,4.810560,63.493579,-0.792598,0.043246,0.005693,0.608182,-0.000001,0.000001,0.000004,31.044840,-103.536105,90811.758617
0.740000,0.064402,0.111547,902.472236,0.520471,0.901468,11.898108,2.959288,5.126670,67.641465,-0.792598,0.043246,0.005693,0.608182,0.000008,-0.000007,-0.000038,31.044840,-103.536105,90809.399562
0.760000,0.075415,0.130623,902.723995,0.581445,1.007105,13.291801,3.135860,5.430468,71.694019,-0.792598,0.043246,0.005693,0.608182,-0.000008,0.000006,0.000037,31.044840,-103.536105,90806.756531
0.780000,0.087683,0.151871,903.004439,0.645937,1.118843,14.765836,3.310053,5.729499,75.697298,-0.792598,0.043246,0.005693,0.608182,-0.000028,0.000023,0.000137,31.044840,-103.536105,90803.812349
0.800000,0.101273,0.175410,903.315119,0.713829,1.236237,16.319297,3.487709,6.052541,79.637138,-0.792598,0.043246,0.005694,0.608182,0.000090,-0.000074,-0.000434,31.044841,-103.536105,90800.550748
0.820000,0.116256,0.201361,903.657632,0.785132,1.359493,17.951037,3.663659,6.376081,83.510652,-0.792598,0.043246,0.005694,0.608183,0.000234,-0.000194,-0.001133,31.044841,-103.536105,90796.954948
0.840000,0.132704,0.229850,904.033627,0.859960,1.489384,19.659577,3.823188,6.630503,87.330808,-0.792598,0.043246,0.005694,0.608182,0.000066,-0.000054,-0.000318,31.044841,-103.536105,90793.007643
0.860000,0.150686,0.260997,904.444683,0.938312,1.626125,21.443257,3.959935,6.787707,91.087422,-0.792599,0.043246,0.005693,0.608181,-0.000547,0.000452,0.002647,31.044841,-103.536104,90788.692271
0.880000,0.170251,0.294884,904.891939,1.019449,1.766478,23.299377,4.119653,7.078337,94.627834,-0.792599,0.043246,0.005693,0.608181,-0.000439,0.000363,0.002126,31.044842,-103.536104,90783.996852
0.900000,0.191446,0.331591,905.376512,1.102637,1.907297,25.224597,4.354537,7.768000,97.777940,-0.792595,0.043246,0.005695,0.608186,0.001498,-0.001240,-0.007251,31.044842,-103.536104,90778.909667
0.920000,0.214391,0.371334,905.901000,1.190090,2.060284,27.212863,4.577326,8.461938,100.703759,-0.792597,0.043246,0.005694,0.608184,0.000600,-0.000497,-0.002905,31.044842,-103.536104,90773.403448
0.940000,0.239139,0.414293,906.466114,1.282873,2.232090,29.257415,4.700354,8.713754,103.671392,-0.792678,0.043255,0.005653,0.608078,-0.006028,0.004967,0.029644,31.044843,-103.536103,90767.470724
0.960000,0.265744,0.460688,907.072139,1.378058,2.408317,31.357122,4.821652,8.907737,106.302717,-0.792964,0.043286,0.005512,0.607704,-0.013196,0.010823,0.066254,31.044843,-103.536103,90761.108506
0.980000,0.294279,0.510645,907.720682,1.475787,2.588146,33.507139,4.952930,9.070762,108.662064,-0.793481,0.043340,0.005262,0.607027,-0.020787,0.016995,0.106683,31.044844,-103.536103,90754.299920
1.000000,0.324796,0.564231,908.412707,1.576361,2.771076,35.703730,5.104673,9.215427,110.927538,-0.794250,0.043421,0.004896,0.606017,-0.028763,0.023477,0.151060,31.044844,-103.536103,90747.034850
1.020000,0.357358,0.621504,909.149119,1.680214,2.956739,37.945107,5.283502,9.347293,113.188124,-0.795296,0.043528,0.004407,0.604640,-0.037073,0.030260,0.199487,31.044845,-103.536102,90739.303789
1.040000,0.392035,0.682516,909.930820,1.787970,3.144952,40.232324,5.496373,9.471941,115.532636,-0.796640,0.043662,0.003791,0.602862,-0.045648,0.037331,0.252040,31.044845,-103.536102,90731.097274
1.060000,0.428912,0.747317,910.758738,1.900336,3.335553,42.566951,5.746134,9.588139,117.958663,-0.798305,0.043824,0.003040,0.600648,-0.054410,0.044671,0.308779,31.044846,-103.536101,90722.405565
1.080000,0.468089,0.815951,911.633829,2.018052,3.528322,44.950076,6.031495,9.688143,120.375901,-0.800311,0.044012,0.002152,0.597961,-0.063261,0.052257,0.369748,31.044846,-103.536101,90713.218611
1.100000,0.509681,0.888458,912.557056,2.141828,3.722884,47.380935,6.351977,9.766724,122.723442,-0.802679,0.044226,0.001121,0.594765,-0.072089,0.060055,0.434967,31.044847,-103.536101,90703.526324
1.120000,0.553815,0.964871,913.529361,2.272371,3.918790,49.857885,6.707737,9.820567,124.963012,-0.805428,0.044464,-0.000055,0.591020,-0.080768,0.068021,0.504433,31.044848,-103.536100,90693.318797
1.140000,0.600633,1.045211,914.551644,2.410393,4.115525,52.378564,7.099746,9.848848,127.085777,-0.808575,0.044721,-0.001378,0.586686,-0.089149,0.076098,0.578113,31.044848,-103.536100,90682.586587
1.160000,0.650293,1.129490,915.624762,2.556646,4.312594,54.940864,7.530402,9.853120,129.113970,-0.812133,0.044994,-0.002848,0.581722,-0.097074,0.084213,0.655942,31.044849,-103.536099,90671.320697
1.180000,0.702967,1.217710,916.749527,2.711919,4.509531,57.543070,8.002901,9.836603,131.090429,-0.816116,0.045278,-0.004463,0.576087,-0.104368,0.092273,0.737830,31.044850,-103.536099,90659.512600
